0
10001
ID	mass	radius	x	y	z	u	v	w
0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
1	4.92e-06	0.0201816851843	0.791103763574	-2.71513506106	-0.0684426968214	0.582093116498	0.0230839448223	0.0717416956832
2	4.92e-06	0.0201816851843	1.9157481101	1.19962968214	-0.676807814076	-0.0898457662866	0.580868409255	0.134740340537
3	4.92e-06	0.0201816851843	-1.85607790032	-0.491211834097	0.327899285684	0.0248277014567	-0.748472418767	-0.259455704617
4	4.92e-06	0.0201816851843	1.73503321995	2.26604930296	-0.187058777279	-0.327373722217	0.3208797799	-0.237849506394
5	4.92e-06	0.0201816851843	-1.58134372707	1.59322422414	-0.845318476983	-0.51322529229	-0.264810300052	-0.249556099851
6	4.92e-06	0.0201816851843	-1.36525995342	-1.60498359985	-0.586271738481	0.569615162023	-0.274895978623	0.0139736829718
7	4.92e-06	0.0201816851843	0.132767406186	-1.58565194258	-0.484795332612	0.859806806537	0.0597526648057	0.151874866934
8	4.92e-06	0.0201816851843	0.682634788109	-1.35813019302	-0.154679560425	0.720542160869	0.247565960311	-0.00701643858798
9	4.92e-06	0.0201816851843	-0.531705857184	1.06680402141	-0.0903839588759	-0.799552913166	-0.390650013632	0.119967683125
10	4.92e-06	0.0201816851843	1.34908616243	-0.0878234103539	0.538555912916	-0.0858003032865	0.745079912844	0.203994772766
11	4.92e-06	0.0201816851843	0.000314186239771	0.999521904925	0.0232636498249	-1.02126013142	0.0229595337221	-0.105632214945
12	4.92e-06	0.0201816851843	1.43854648677	0.508483740704	0.156139458857	-0.312209296619	0.718798077114	0.11143342661
13	4.92e-06	0.0201816851843	-0.662664006022	1.04260295485	0.668755769627	-0.827360240277	-0.422850939896	0.0430372870989
14	4.92e-06	0.0201816851843	1.57556110046	0.232325524217	-0.214016474007	-0.0844761852186	0.674381908584	0.135980579402
15	4.92e-06	0.0201816851843	2.45777006189	-0.171295952153	0.597719286141	-0.0737030599135	0.529738665109	-0.111045873082
16	4.92e-06	0.0201816851843	-0.538119833696	1.75923033073	-0.209328675093	-0.553705875989	-0.308942285713	0.161032441103
17	4.92e-06	0.0201816851843	1.17635160777	-0.441030856537	-0.0154542828527	0.313684548755	0.921357557907	0.177438662793
18	4.92e-06	0.0201816851843	-0.523801510621	1.38120946508	0.231731018214	-0.797562064406	-0.123915577945	0.282347482561
19	4.92e-06	0.0201816851843	-0.907746414967	1.14917705506	-0.270154051057	-0.845874636219	-0.408761483548	-0.255627923295
20	4.92e-06	0.0201816851843	0.542751980948	-1.25579256664	-0.173719454935	0.773053418641	0.169497332033	0.382320671409
21	4.92e-06	0.0201816851843	-0.338511168848	-2.52379158526	-0.878148604107	0.546355510072	0.0132288222794	0.164659382785
22	4.92e-06	0.0201816851843	-0.734303766862	0.849880768725	0.310111295705	-0.597720833305	-0.821901927182	-0.0311222421062
23	4.92e-06	0.0201816851843	1.86260106844	1.39761917626	0.690413269406	-0.355618897836	0.577887918216	-0.0140416996508
24	4.92e-06	0.0201816851843	-0.687620180952	-1.30257644105	0.0479777601633	0.720473200349	-0.369514198456	0.44913868015
25	4.92e-06	0.0201816851843	-1.12396262311	-0.138255844094	0.285502799724	0.0210243875805	-0.841801931111	-0.341983216602
26	4.92e-06	0.0201816851843	0.221101521324	-2.26395872738	-0.464510964882	0.687534406646	0.0519561090806	0.0307979243117
27	4.92e-06	0.0201816851843	1.24799030024	-2.29935975868	-0.590802507239	0.521438065845	0.317730730741	0.0627889408311
28	4.92e-06	0.0201816851843	0.986681093253	0.958291755338	0.194276327756	-0.52389088929	0.805224269978	0.0268942166828
29	4.92e-06	0.0201816851843	-1.82414505605	-0.677786839729	-0.0942027729693	0.387461469929	-0.698338295652	0.0672128650746
30	4.92e-06	0.0201816851843	-2.76360083106	0.242120612955	0.666691277144	-0.187364404743	-0.538934332609	0.112265144006
31	4.92e-06	0.0201816851843	-1.05959770106	-0.468547770969	-0.116575910786	0.513677604531	-0.740737049208	0.437917203759
32	4.92e-06	0.0201816851843	1.80251549778	-0.863601584693	-0.187834919644	0.297043422481	0.587323346017	-0.0690134345713
33	4.92e-06	0.0201816851843	-0.212188659859	-2.82256117773	-0.634443837574	0.520010790349	0.0187226242935	-0.00441106023859
34	4.92e-06	0.0201816851843	0.96589534951	-1.77605996405	-0.583591325899	0.508377317412	0.399312734165	0.175750162274
35	4.92e-06	0.0201816851843	-1.37513621976	0.889582022749	-0.0545412348533	-0.603442386412	-0.672974843641	0.0219851423552
36	4.92e-06	0.0201816851843	-2.25859018664	-1.27078438626	0.351679393113	0.326771964792	-0.490182093313	-0.00101322467452
37	4.92e-06	0.0201816851843	1.13656419028	-0.212680725452	-0.0397752408892	0.329795677531	1.08160659868	0.278563967404
38	4.92e-06	0.0201816851843	-1.09831461314	-1.37327614838	-0.269390583372	0.59167936972	-0.533613832425	0.0282020442915
39	4.92e-06	0.0201816851843	-0.308347438489	-2.49207342422	-0.269958153614	0.509266959791	0.137509064178	0.0708793441163
40	4.92e-06	0.0201816851843	1.32968360631	0.644009126417	1.27197988067	-0.483539486455	0.633578224493	0.185105208678
41	4.92e-06	0.0201816851843	1.28959530835	0.666916807257	0.00433857675213	-0.187613749517	0.624783596993	-0.424862038938
42	4.92e-06	0.0201816851843	-1.27598265663	0.610941250926	-0.455235371288	-0.517121273024	-0.597177944593	-0.16581033978
43	4.92e-06	0.0201816851843	2.63120800768	-1.24047625431	0.839995242182	0.151539553343	0.501746994857	-0.0866022833326
44	4.92e-06	0.0201816851843	0.565942784417	1.32624021252	0.225297538286	-0.720454763367	0.53278707638	-0.136895582523
